# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
16.350000 0.011576 0.010867 0.000709
16.360000 0.015020 0.014416 0.000604
16.370000 0.027169 0.019077 0.008092
16.380000 0.024083 0.024765 -0.000682
16.390000 0.029703 0.031163 -0.001461
16.400000 0.019653 0.037685 -0.018032
16.410000 0.037026 0.043489 -0.006463
16.420000 0.037424 0.047609 -0.010185
16.430000 0.046092 0.049229 -0.003138
16.440000 0.055632 0.048022 0.007610
16.450000 0.046887 0.044275 0.002612
16.460000 0.033790 0.038726 -0.004936
16.470000 0.028092 0.032284 -0.004192
16.480000 0.035892 0.025791 0.010101
16.490000 0.012345 0.019879 -0.007534
16.500000 0.014920 0.014918 0.000002
16.510000 0.026638 0.011038 0.015600
16.520000 0.014412 0.008184 0.006228
16.530000 0.008715 0.006197 0.002518
16.540000 0.010857 0.004875 0.005982
16.550000 0.008208 0.004025 0.004183
16.560000 0.000000 0.003487 -0.003487
16.570000 0.002041 0.003146 -0.001105
16.580000 0.013324 0.002923 0.010401
16.590000 0.003711 0.002772 0.000939
16.600000 0.005852 0.002663 0.003189
16.610000 0.002333 0.002582 -0.000249
16.620000 0.000000 0.002520 -0.002520
16.630000 0.000521 0.002472 -0.001951
16.640000 0.009193 0.002435 0.006758
16.650000 0.000000 0.002409 -0.002409
16.660000 0.000000 0.002391 -0.002391
16.670000 0.000000 0.002381 -0.002381
16.680000 0.005568 0.002378 0.003191
16.690000 0.000000 0.002382 -0.002382
16.700000 0.000000 0.002392 -0.002392
16.710000 0.003282 0.002408 0.000874
16.720000 0.000000 0.002431 -0.002431
16.730000 0.002334 0.002459 -0.000125
16.740000 0.001423 0.002494 -0.001071
16.750000 0.003121 0.002535 0.000587
16.760000 0.000000 0.002581 -0.002581
16.770000 0.000000 0.002635 -0.002635
16.780000 0.002106 0.002695 -0.000589
16.790000 0.000000 0.002762 -0.002762
