# 2Theta  Intensity_Obs  Intensity_Fit
13.530160 0.155695 0.155388
13.541026 0.142309 0.155368
13.551893 0.150920 0.155348
13.562759 0.153346 0.155329
13.573626 0.147241 0.155310
13.584492 0.144736 0.155290
13.595358 0.147554 0.155271
13.606225 0.154207 0.155252
13.617091 0.150528 0.155233
13.627958 0.148180 0.155214
13.638824 0.148258 0.155195
13.649691 0.143796 0.155176
13.660557 0.148180 0.155157
13.671423 0.146693 0.155138
13.682290 0.153581 0.155119
13.693156 0.147710 0.155101
13.704023 0.149511 0.155082
13.714889 0.148885 0.155064
13.725756 0.148180 0.155046
13.736622 0.146536 0.155027
13.747489 0.148650 0.155009
13.758355 0.144188 0.154991
13.769221 0.146928 0.154973
13.780088 0.143718 0.154955
13.790954 0.137299 0.154937
13.801821 0.143640 0.154919
13.812687 0.147476 0.154901
13.823554 0.145440 0.154883
13.834420 0.151937 0.154866
13.845287 0.143562 0.154848
13.856153 0.143014 0.154831
13.867019 0.153816 0.154813
13.877886 0.143170 0.154796
13.888752 0.145205 0.154778
13.899619 0.148806 0.154761
13.910485 0.141761 0.154744
13.921352 0.145597 0.154727
13.932218 0.147632 0.154710
13.943084 0.143640 0.154693
13.953951 0.143170 0.154676
13.964817 0.148806 0.154659
13.975684 0.141996 0.154642
13.986550 0.139100 0.154625
13.997417 0.145127 0.154609
14.008283 0.142935 0.154592
14.019150 0.147867 0.154576
14.030016 0.153894 0.154559
14.040882 0.148650 0.154543
14.051749 0.141761 0.154526
14.062615 0.149902 0.154510
14.073482 0.145440 0.154494
14.084348 0.146614 0.154478
14.095215 0.144892 0.154462
14.106081 0.143796 0.154446
14.116948 0.141605 0.154430
14.127814 0.150294 0.154414
14.138680 0.144736 0.154398
14.149547 0.144501 0.154382
14.160413 0.146067 0.154366
14.171280 0.149119 0.154351
14.182146 0.146614 0.154335
14.193013 0.149511 0.154320
14.203879 0.147632 0.154304
14.214745 0.147241 0.154289
14.225612 0.145127 0.154274
14.236478 0.145910 0.154258
14.247345 0.142387 0.154243
14.258211 0.142701 0.154228
14.269078 0.140822 0.154213
14.279944 0.139883 0.154198
14.290811 0.137065 0.154183
14.301677 0.144658 0.154168
14.312543 0.144814 0.154153
14.323410 0.144579 0.154139
14.334276 0.146614 0.154124
14.345143 0.145049 0.154109
14.356009 0.142701 0.154095
14.366876 0.146301 0.154080
