index,Rwp,step,frac,scale
51,20.011858952709183,粗调 (Stage 1),"[0.4591993987560272, 0.3632686138153076, 0.17753204703330994]","[0.46033063530921936, 0.4446988105773926, 0.47044745087623596]"
52,20.208284806439742,粗调 (Stage 1),"[0.460115522146225, 0.362201452255249, 0.1776830404996872]","[0.44786906242370605, 0.43549469113349915, 0.4570399224758148]"
53,18.952855800176977,粗调 (Stage 1),"[0.46979081630706787, 0.3890298902988434, 0.14117930829524994]","[0.38250675797462463, 0.36076560616493225, 0.3372378647327423]"
54,20.19191344002507,粗调 (Stage 1),"[0.4383014738559723, 0.38848716020584106, 0.17321136593818665]","[0.4688068628311157, 0.45475178956985474, 0.4855397045612335]"
55,18.578778757851293,粗调 (Stage 1),"[0.5216717720031738, 0.34865668416023254, 0.12967155873775482]","[0.3925410211086273, 0.3516836166381836, 0.322440505027771]"
56,20.778958299541465,粗调 (Stage 1),"[0.3634395897388458, 0.4785478115081787, 0.15801259875297546]","[0.3265203833580017, 0.34084534645080566, 0.31091606616973877]"
57,16.713340109380354,粗调 (Stage 1),"[0.6194643974304199, 0.26922276616096497, 0.1113128736615181]","[0.5308868288993835, 0.4129043221473694, 0.3759358823299408]"
58,19.860713616440098,粗调 (Stage 1),"[0.4107327163219452, 0.44102516770362854, 0.14824211597442627]","[0.3397013545036316, 0.34242185950279236, 0.31204110383987427]"
59,16.713340109380354,粗调 (Stage 1),"[0.6194643974304199, 0.26922276616096497, 0.1113128736615181]","[0.5308868288993835, 0.4129043221473694, 0.3759358823299408]"
60,19.860713616440098,粗调 (Stage 1),"[0.4107327163219452, 0.44102516770362854, 0.14824211597442627]","[0.3397013545036316, 0.34242185950279236, 0.31204110383987427]"
61,17.47008065682752,粗调 (Stage 1),"[0.672105073928833, 0.17772674560546875, 0.15016818046569824]","[0.4951760768890381, 0.4367251694202423, 0.4111821949481964]"
62,15.813467278922483,粗调 (Stage 1),"[0.6540021300315857, 0.21334178745746613, 0.13265608251094818]","[0.49932077527046204, 0.4514293968677521, 0.3916017413139343]"
63,17.47008065682752,粗调 (Stage 1),"[0.672105073928833, 0.17772674560546875, 0.15016818046569824]","[0.4951760768890381, 0.4367251694202423, 0.4111821949481964]"
64,15.813467278922483,粗调 (Stage 1),"[0.6540021300315857, 0.21334178745746613, 0.13265608251094818]","[0.49932077527046204, 0.4514293968677521, 0.3916017413139343]"
65,16.838314710089403,粗调 (Stage 1),"[0.6536006927490234, 0.2451707273721695, 0.10122857987880707]","[0.5261275172233582, 0.39661872386932373, 0.344660222530365]"
66,16.891318290616926,粗调 (Stage 1),"[0.6761964559555054, 0.2235366851091385, 0.10026686638593674]","[0.5107210278511047, 0.3851122260093689, 0.3328153192996979]"
67,15.853493861424381,粗调 (Stage 1),"[0.6715461611747742, 0.21365049481391907, 0.11480340361595154]","[0.5262553691864014, 0.44551143050193787, 0.3774755001068115]"
68,15.93176669369704,粗调 (Stage 1),"[0.6715511083602905, 0.21664132177829742, 0.11180756986141205]","[0.5312525629997253, 0.4437187612056732, 0.3752405643463135]"
69,16.601376130357572,粗调 (Stage 1),"[0.6163626909255981, 0.2338910698890686, 0.14974623918533325]","[0.5379834175109863, 0.5001561641693115, 0.46074149012565613]"
70,16.801814973668638,粗调 (Stage 1),"[0.6076393723487854, 0.23980261385440826, 0.15255801379680634]","[0.5423253178596497, 0.5066896677017212, 0.4716958701610565]"
71,16.664421979948894,粗调 (Stage 1),"[0.6058219075202942, 0.23116084933280945, 0.16301727294921875]","[0.5172955393791199, 0.5067757368087769, 0.46952372789382935]"
72,16.634004522311223,粗调 (Stage 1),"[0.6008192300796509, 0.23320172727108002, 0.1659790575504303]","[0.5189895629882812, 0.5113385915756226, 0.4769911468029022]"
73,20.924004907825818,粗调 (Stage 1),"[0.2817949056625366, 0.5331305265426636, 0.1850745975971222]","[0.16393303871154785, 0.18140019476413727, 0.15486934781074524]"
74,20.924004907825818,粗调 (Stage 1),"[0.2817949056625366, 0.5331305265426636, 0.1850745975971222]","[0.16393303871154785, 0.18140019476413727, 0.15486934781074524]"
75,20.924004907825818,粗调 (Stage 1),"[0.2817949056625366, 0.5331305265426636, 0.1850745975971222]","[0.16393303871154785, 0.18140019476413727, 0.15486934781074524]"
76,20.924004907825818,粗调 (Stage 1),"[0.2817949056625366, 0.5331305265426636, 0.1850745975971222]","[0.16393303871154785, 0.18140019476413727, 0.15486934781074524]"
77,20.912160778166513,粗调 (Stage 1),"[0.28152820467948914, 0.5354710221290588, 0.18300078809261322]","[0.16380615532398224, 0.18169616162776947, 0.15431219339370728]"
78,20.912160778166513,粗调 (Stage 1),"[0.28152820467948914, 0.5354710221290588, 0.18300078809261322]","[0.16380615532398224, 0.18169616162776947, 0.15431219339370728]"
79,18.380378735333146,粗调 (Stage 1),"[0.9315448999404907, 0.03469521924853325, 0.03375986963510513]","[0.5816842913627625, 0.1937374621629715, 0.19187811017036438]"
80,18.380378735333146,粗调 (Stage 1),"[0.9315448999404907, 0.03469521924853325, 0.03375986963510513]","[0.5816842913627625, 0.1937374621629715, 0.19187811017036438]"
81,18.380378735333146,粗调 (Stage 1),"[0.9315448999404907, 0.03469521924853325, 0.03375986963510513]","[0.5816842913627625, 0.1937374621629715, 0.19187811017036438]"
82,18.380378735333146,粗调 (Stage 1),"[0.9315448999404907, 0.03469521924853325, 0.03375986963510513]","[0.5816842913627625, 0.1937374621629715, 0.19187811017036438]"
83,18.083618272427923,粗调 (Stage 1),"[0.9627510905265808, 0.01333191804587841, 0.0239169392734766]","[0.6061881184577942, 0.12469082325696945, 0.16957665979862213]"
84,18.314683178896104,粗调 (Stage 1),"[0.963192343711853, 0.014593987725675106, 0.022213757038116455]","[0.5868142247200012, 0.1261606216430664, 0.15788793563842773]"
85,15.991965038963132,粗调 (Stage 1),"[0.6730125546455383, 0.20788201689720154, 0.11910542845726013]","[0.4954923391342163, 0.43444913625717163, 0.36498069763183594]"
86,15.933859754938132,粗调 (Stage 1),"[0.6974649429321289, 0.20608821511268616, 0.09644688665866852]","[0.5274652242660522, 0.41537269949913025, 0.3375082314014435]"
87,16.13353517622812,粗调 (Stage 1),"[0.6526048183441162, 0.21554350852966309, 0.13185164332389832]","[0.5023704767227173, 0.455605149269104, 0.3950486481189728]"
88,16.634004522311223,粗调 (Stage 1),"[0.6008192300796509, 0.23320172727108002, 0.1659790575504303]","[0.5189895629882812, 0.5113385915756226, 0.4769911468029022]"
89,16.15900849917755,粗调 (Stage 1),"[0.6629359722137451, 0.22599197924137115, 0.11107204854488373]","[0.5562379956245422, 0.44856104254722595, 0.38989654183387756]"
90,16.57700816791904,粗调 (Stage 1),"[0.6364026665687561, 0.23426851630210876, 0.1293288767337799]","[0.5601567029953003, 0.47757479548454285, 0.43308597803115845]"
91,15.910297659247382,粗调 (Stage 1),"[0.644906759262085, 0.21672499179840088, 0.13836823403835297]","[0.502885639667511, 0.461770236492157, 0.40585076808929443]"
92,16.421524168432914,粗调 (Stage 1),"[0.6104642748832703, 0.228986918926239, 0.16054877638816833]","[0.5143009424209595, 0.5002365112304688, 0.4606523811817169]"
93,15.783705649410848,粗调 (Stage 1),"[0.6572047472000122, 0.21208687126636505, 0.13070841133594513]","[0.4982281029224396, 0.44793733954429626, 0.3868313133716583]"
94,16.17302124446627,粗调 (Stage 1),"[0.6288924217224121, 0.2225743532180786, 0.14853321015834808]","[0.5083078145980835, 0.4795476496219635, 0.43089914321899414]"
95,16.844059971628074,粗调 (Stage 1),"[0.5880536437034607, 0.2348443865776062, 0.17710191011428833]","[0.5231314897537231, 0.5291282534599304, 0.5018447637557983]"
96,16.00629597828117,粗调 (Stage 1),"[0.6317421793937683, 0.22320076823234558, 0.1450570821762085]","[0.5058138370513916, 0.47310665249824524, 0.4228803515434265]"
97,16.255971118960606,粗调 (Stage 1),"[0.6492687463760376, 0.2139723002910614, 0.136758953332901]","[0.498013436794281, 0.45814669132232666, 0.4002247452735901]"
98,15.61492590643089,粗调 (Stage 1),"[0.6460165977478027, 0.21744662523269653, 0.13653677701950073]","[0.5044869780540466, 0.45846793055534363, 0.40247026085853577]"
99,15.529957797037408,粗调 (Stage 1),"[0.6550759673118591, 0.21392399072647095, 0.1310000717639923]","[0.5015094876289368, 0.44904619455337524, 0.3890937864780426]"
100,15.689684670118641,粗调 (Stage 1),"[0.6374976634979248, 0.22068198025226593, 0.14182037115097046]","[0.507314920425415, 0.46740230917930603, 0.4153088331222534]"
101,18.84840956086991,粗调 (Stage 1),"[0.6380674839019775, 0.23346586525440216, 0.1284666359424591]","[0.4591280221939087, 0.4240671694278717, 0.36338719725608826]"
102,14.625696464008017,粗调 (Stage 1),"[0.754230260848999, 0.15208332240581512, 0.09368639439344406]","[0.8025170564651489, 0.5016686916351318, 0.4147641956806183]"
103,16.985720002901843,粗调 (Stage 1),"[0.6702418327331543, 0.19669893383979797, 0.1330593079328537]","[0.8707180619239807, 0.5351076722145081, 0.53936368227005]"
104,15.740951321222635,粗调 (Stage 1),"[0.7019831538200378, 0.16251645982265472, 0.13550043106079102]","[0.8548959493637085, 0.5624598264694214, 0.5287372469902039]"
105,14.636391002132438,粗调 (Stage 1),"[0.7534282207489014, 0.15212859213352203, 0.0944431945681572]","[0.8033246994018555, 0.5026332139968872, 0.41688114404678345]"
106,14.961723170676985,粗调 (Stage 1),"[0.7278552651405334, 0.16311810910701752, 0.10902664065361023]","[0.819502592086792, 0.5300720930099487, 0.4594969153404236]"
107,13.687779842664828,粗调 (Stage 1),"[0.6497752666473389, 0.2182723879814148, 0.13195233047008514]","[0.5144623517990112, 0.448951780796051, 0.3924815058708191]"
108,17.138335540339053,粗调 (Stage 1),"[0.540754497051239, 0.292362242937088, 0.16688331961631775]","[0.36174383759498596, 0.3478265106678009, 0.32517188787460327]"
109,13.687779842664828,粗调 (Stage 1),"[0.6497752666473389, 0.2182723879814148, 0.13195233047008514]","[0.5144623517990112, 0.448951780796051, 0.3924815058708191]"
110,17.138335540339053,粗调 (Stage 1),"[0.540754497051239, 0.292362242937088, 0.16688331961631775]","[0.36174383759498596, 0.3478265106678009, 0.32517188787460327]"
111,15.651141763689461,粗调 (Stage 1),"[0.759653627872467, 0.1475248783826828, 0.09282155334949493]","[0.776143491268158, 0.492304265499115, 0.40708863735198975]"
112,16.90812966458281,粗调 (Stage 1),"[0.6515084505081177, 0.20012255012989044, 0.14836899936199188]","[0.7020406723022461, 0.5544068813323975, 0.5152438879013062]"
113,14.303231517587072,粗调 (Stage 1),"[0.6321144104003906, 0.26363274455070496, 0.1042528823018074]","[0.556530773639679, 0.4118299186229706, 0.36880016326904297]"
114,14.487890036043078,粗调 (Stage 1),"[0.7610852718353271, 0.10910112410783768, 0.12981364130973816]","[0.5102325677871704, 0.3324425220489502, 0.3679451644420624]"
115,14.865819381139447,粗调 (Stage 1),"[0.6773360967636108, 0.15928715467453003, 0.16337673366069794]","[0.5211173295974731, 0.4358396530151367, 0.4483020007610321]"
116,14.644529738429302,粗调 (Stage 1),"[0.6537728905677795, 0.24033230543136597, 0.10589482635259628]","[0.5377894639968872, 0.40518152713775635, 0.35712748765945435]"
117,14.0749763133219,粗调 (Stage 1),"[0.6755492091178894, 0.19823527336120605, 0.12621554732322693]","[0.4862891137599945, 0.4224399924278259, 0.363384485244751]"
118,14.50653176943847,粗调 (Stage 1),"[0.7179542779922485, 0.1606214940547943, 0.12142428755760193]","[0.4998926818370819, 0.3890964090824127, 0.3488757312297821]"
119,13.492156257086622,粗调 (Stage 1),"[0.6894270181655884, 0.20888422429561615, 0.10168883204460144]","[0.5301932692527771, 0.42147451639175415, 0.345589816570282]"
120,13.589063307158755,粗调 (Stage 1),"[0.692628800868988, 0.21110647916793823, 0.09626471996307373]","[0.5356488227844238, 0.41664135456085205, 0.3387385606765747]"
121,13.452198920332876,粗调 (Stage 1),"[0.6876211166381836, 0.20899400115013123, 0.10338485240936279]","[0.5305365324020386, 0.42291635274887085, 0.3488410413265228]"
122,13.51358065241114,粗调 (Stage 1),"[0.6931000351905823, 0.21037735044956207, 0.09652262926101685]","[0.5264440178871155, 0.4131302833557129, 0.3336028754711151]"
123,13.712088736536101,粗调 (Stage 1),"[0.6545170545578003, 0.21665135025978088, 0.12883161008358002]","[0.5156229138374329, 0.44616955518722534, 0.387432336807251]"
124,13.563108854890801,粗调 (Stage 1),"[0.6718227863311768, 0.2114153355360031, 0.11676184833049774]","[0.5057014226913452, 0.42460736632347107, 0.3578733801841736]"
125,20.853575224712646,粗调 (Stage 1),"[0.34263768792152405, 0.5313512682914734, 0.12601104378700256]","[0.16914810240268707, 0.19904978573322296, 0.14751003682613373]"
126,20.853575224712646,粗调 (Stage 1),"[0.34263768792152405, 0.5313512682914734, 0.12601104378700256]","[0.16914810240268707, 0.19904978573322296, 0.14751003682613373]"
127,20.853575224712646,粗调 (Stage 1),"[0.34263768792152405, 0.5313512682914734, 0.12601104378700256]","[0.16914810240268707, 0.19904978573322296, 0.14751003682613373]"
128,20.853575224712646,粗调 (Stage 1),"[0.34263768792152405, 0.5313512682914734, 0.12601104378700256]","[0.16914810240268707, 0.19904978573322296, 0.14751003682613373]"
129,20.838762525511356,粗调 (Stage 1),"[0.34244969487190247, 0.5423287749290466, 0.1152215227484703]","[0.1582271307706833, 0.19376873970031738, 0.13559284806251526]"
130,20.838762525511356,粗调 (Stage 1),"[0.34244969487190247, 0.5423287749290466, 0.1152215227484703]","[0.1582271307706833, 0.19376873970031738, 0.13559284806251526]"
131,16.215706130020667,粗调 (Stage 1),"[0.9325211048126221, 0.037741322070360184, 0.029737623408436775]","[0.5743445158004761, 0.19978994131088257, 0.17705005407333374]"
132,16.215706130020667,粗调 (Stage 1),"[0.9325211048126221, 0.037741322070360184, 0.029737623408436775]","[0.5743445158004761, 0.19978994131088257, 0.17705005407333374]"
133,16.215706130020667,粗调 (Stage 1),"[0.9325211048126221, 0.037741322070360184, 0.029737623408436775]","[0.5743445158004761, 0.19978994131088257, 0.17705005407333374]"
134,16.215706130020667,粗调 (Stage 1),"[0.9325211048126221, 0.037741322070360184, 0.029737623408436775]","[0.5743445158004761, 0.19978994131088257, 0.17705005407333374]"
135,16.28174244110934,粗调 (Stage 1),"[0.9478059411048889, 0.02212279662489891, 0.03007124736905098]","[0.6052188277244568, 0.16005508601665497, 0.18766777217388153]"
136,16.31222151162047,粗调 (Stage 1),"[0.9529832601547241, 0.021907728165388107, 0.02510901167988777]","[0.6175634264945984, 0.1620422750711441, 0.1746099442243576]"
137,13.75690708563306,粗调 (Stage 1),"[0.6810161471366882, 0.20792867243289948, 0.1110551729798317]","[0.5027492642402649, 0.4177374243736267, 0.346050500869751]"
138,13.802218503482678,粗调 (Stage 1),"[0.6929978132247925, 0.21132594347000122, 0.0956762358546257]","[0.5378071665763855, 0.41456684470176697, 0.3377813994884491]"
139,13.751051079389923,粗调 (Stage 1),"[0.6660275459289551, 0.21363669633865356, 0.12033576518297195]","[0.5095528960227966, 0.4334103465080261, 0.3684845268726349]"
140,13.563108854890801,粗调 (Stage 1),"[0.6718227863311768, 0.2114153355360031, 0.11676184833049774]","[0.5057014226913452, 0.42460736632347107, 0.3578733801841736]"
141,13.631636937106936,粗调 (Stage 1),"[0.6991901993751526, 0.21382135152816772, 0.08698848634958267]","[0.5563514232635498, 0.40854546427726746, 0.33123454451560974]"
142,13.528810231063131,粗调 (Stage 1),"[0.6997336745262146, 0.21075649559497833, 0.08950987458229065]","[0.5549971461296082, 0.4123391807079315, 0.335100382566452]"
143,13.475632890027759,粗调 (Stage 1),"[0.6805220246315002, 0.21206937730312347, 0.10740862786769867]","[0.5328328013420105, 0.43002453446388245, 0.35893625020980835]"
144,13.44654618538265,粗调 (Stage 1),"[0.6847825646400452, 0.21036013960838318, 0.10485730320215225]","[0.5306304693222046, 0.4252645969390869, 0.352167546749115]"
145,13.449410684082999,粗调 (Stage 1),"[0.687186062335968, 0.2092134654521942, 0.10360051691532135]","[0.5304261445999146, 0.4232097864151001, 0.3492664694786072]"
146,13.450153883634252,粗调 (Stage 1),"[0.6847754716873169, 0.21027004718780518, 0.10495452582836151]","[0.5311474204063416, 0.42555510997772217, 0.35266032814979553]"
147,13.572493289109525,粗调 (Stage 1),"[0.6856575012207031, 0.208841010928154, 0.10550146549940109]","[0.5346183180809021, 0.42824965715408325, 0.35509297251701355]"
148,13.304596344020858,粗调 (Stage 1),"[0.6857450008392334, 0.21111102402210236, 0.10314398258924484]","[0.5255033373832703, 0.420521080493927, 0.3464491367340088]"
149,13.961219959976997,粗调 (Stage 1),"[0.6690838932991028, 0.21598614752292633, 0.11492999643087387]","[0.5338174104690552, 0.4428355395793915, 0.376769483089447]"
150,12.810438879383199,粗调 (Stage 1),"[0.68336421251297, 0.21406692266464233, 0.1025688648223877]","[0.522892951965332, 0.4169410169124603, 0.34412485361099243]"
151,12.847675616579904,粗调 (Stage 1),"[0.6845780611038208, 0.2135067880153656, 0.1019151508808136]","[0.5226048827171326, 0.416044682264328, 0.3425261676311493]"
152,12.766588946356668,粗调 (Stage 1),"[0.6831374168395996, 0.21440888941287994, 0.10245373100042343]","[0.5216079354286194, 0.41612204909324646, 0.3432036340236664]"
153,14.919497440749435,粗调 (Stage 1),"[0.6786123514175415, 0.2181350588798523, 0.1032526046037674]","[0.5071631669998169, 0.4130266308784485, 0.3401477038860321]"
154,13.996076979693648,粗调 (Stage 1),"[0.7056127190589905, 0.19918112456798553, 0.09520620107650757]","[0.5994618535041809, 0.4453337788581848, 0.3624873757362366]"
155,14.659683465871304,粗调 (Stage 1),"[0.6572926044464111, 0.2512192726135254, 0.09148813784122467]","[0.5708346962928772, 0.38524293899536133, 0.3475843667984009]"
156,13.29252665539959,粗调 (Stage 1),"[0.6961356401443481, 0.19257603585720062, 0.11128833144903183]","[0.5258536338806152, 0.4286809265613556, 0.35718536376953125]"
157,13.095234455205333,粗调 (Stage 1),"[0.6981616616249084, 0.21534080803394318, 0.08649755269289017]","[0.5404880046844482, 0.4020415246486664, 0.3228628933429718]"
158,13.534788992488151,粗调 (Stage 1),"[0.6254817247390747, 0.2248571515083313, 0.149661123752594]","[0.5078843832015991, 0.46356290578842163, 0.41862937808036804]"
159,16.978660826689634,粗调 (Stage 1),"[0.544615626335144, 0.3200409710407257, 0.13534344732761383]","[0.33653339743614197, 0.30561307072639465, 0.2725723683834076]"
160,14.421380458631077,粗调 (Stage 1),"[0.7289667725563049, 0.1666734516620636, 0.10435976833105087]","[0.8487594723701477, 0.5278584957122803, 0.46102768182754517]"
161,17.09947587037241,粗调 (Stage 1),"[0.695942759513855, 0.20569314062595367, 0.09836414456367493]","[0.561474084854126, 0.4375517666339874, 0.3581468462944031]"
162,16.58352776195771,粗调 (Stage 1),"[0.5919073224067688, 0.28336241841316223, 0.12473024427890778]","[0.36730754375457764, 0.3237784802913666, 0.28158459067344666]"
163,13.5824893081569,粗调 (Stage 1),"[0.7162244915962219, 0.1855994313955307, 0.09817612171173096]","[0.7136161923408508, 0.4850422739982605, 0.4063912034034729]"
