# 2Theta  Intensity_Obs  Intensity_Fit
14.464674 0.081267 0.086213
14.475540 0.082559 0.086225
14.486407 0.082098 0.086237
14.497273 0.081175 0.086250
14.508139 0.080837 0.086263
14.519006 0.085604 0.086276
14.529872 0.084251 0.086290
14.540739 0.084282 0.086303
14.551605 0.083697 0.086317
14.562472 0.083267 0.086332
14.573338 0.084005 0.086346
14.584204 0.082405 0.086361
14.595071 0.080837 0.086377
14.605937 0.082928 0.086392
14.616804 0.084251 0.086408
14.627670 0.083082 0.086425
14.638537 0.085543 0.086442
14.649403 0.081852 0.086459
14.660270 0.082528 0.086477
14.671136 0.080252 0.086495
14.682002 0.086004 0.086513
14.692869 0.083328 0.086532
14.703735 0.084897 0.086552
14.714602 0.086712 0.086572
14.725468 0.081513 0.086592
14.736335 0.081083 0.086614
14.747201 0.080437 0.086635
14.758067 0.081237 0.086658
14.768934 0.081975 0.086681
14.779800 0.083144 0.086705
14.790667 0.082928 0.086729
14.801533 0.085082 0.086754
14.812400 0.085543 0.086780
14.823266 0.084958 0.086807
14.834133 0.081114 0.086835
14.844999 0.083790 0.086864
14.855865 0.086004 0.086893
14.866732 0.085543 0.086924
14.877598 0.085112 0.086956
14.888465 0.086066 0.086988
14.899331 0.082006 0.087022
14.910198 0.085082 0.087057
14.921064 0.082528 0.087094
14.931931 0.084805 0.087132
14.942797 0.084682 0.087171
14.953663 0.084559 0.087212
14.964530 0.085974 0.087255
14.975396 0.083728 0.087299
14.986263 0.086312 0.087345
14.997129 0.086558 0.087394
15.007996 0.084128 0.087444
15.018862 0.084128 0.087496
15.029729 0.084251 0.087551
15.040595 0.085051 0.087609
15.051461 0.085881 0.087669
15.062328 0.083113 0.087732
15.073194 0.086435 0.087798
15.084061 0.084374 0.087867
15.094927 0.084374 0.087940
15.105794 0.089603 0.088017
15.116660 0.087173 0.088098
15.127526 0.083759 0.088183
15.138393 0.090003 0.088273
15.149259 0.086066 0.088368
15.160126 0.089819 0.088469
15.170992 0.088311 0.088576
15.181859 0.088680 0.088689
15.192725 0.085512 0.088809
15.203592 0.091018 0.088938
15.214458 0.089942 0.089074
15.225324 0.089142 0.089220
15.236191 0.087327 0.089375
15.247057 0.088004 0.089542
15.257924 0.089511 0.089721
15.268790 0.091726 0.089914
15.279657 0.088096 0.090121
15.290523 0.093817 0.090346
15.301389 0.091910 0.090589
15.312256 0.093448 0.090854
15.323122 0.092341 0.091143
15.333989 0.093202 0.091461
15.344855 0.091726 0.091811
15.355722 0.093602 0.092201
15.366588 0.092310 0.092635
15.377455 0.091480 0.093125
15.388321 0.094802 0.093679
15.399187 0.095694 0.094311
15.410054 0.098339 0.095037
15.420920 0.097508 0.095874
15.431787 0.101476 0.096846
15.442653 0.102338 0.097977
15.453520 0.102461 0.099295
15.464386 0.105814 0.100831
15.475253 0.104891 0.102622
15.486119 0.110058 0.104701
15.496985 0.108121 0.107107
15.507852 0.111074 0.109876
15.518718 0.112027 0.113041
15.529585 0.116180 0.116628
15.540451 0.120055 0.120655
15.551318 0.118210 0.125121
15.562184 0.123593 0.130006
15.573051 0.119194 0.135257
15.583917 0.126761 0.140785
15.594783 0.131129 0.146466
15.605650 0.131929 0.152139
15.616516 0.136297 0.157627
15.627383 0.135158 0.162754
15.638249 0.138942 0.167360
15.649116 0.140295 0.171303
15.659982 0.139157 0.174439
15.670848 0.142633 0.176611
15.681715 0.144325 0.177641
15.692581 0.140726 0.177368
15.703448 0.143740 0.175694
15.714314 0.146909 0.172639
15.725181 0.146047 0.168360
15.736047 0.144909 0.163122
15.746914 0.145955 0.157249
15.757780 0.143094 0.151058
15.768646 0.138604 0.144828
15.779513 0.137958 0.138768
15.790379 0.134759 0.133030
15.801246 0.132113 0.127707
15.812112 0.124269 0.122852
15.822979 0.122332 0.118485
15.833845 0.119102 0.114605
15.844711 0.116303 0.111192
15.855578 0.108121 0.108217
15.866444 0.111658 0.105645
15.877311 0.107044 0.103434
15.888177 0.106767 0.101544
15.899044 0.102276 0.099933
15.909910 0.101753 0.098562
15.920777 0.099231 0.097394
15.931643 0.095970 0.096398
15.942509 0.094432 0.095545
15.953376 0.093971 0.094810
15.964242 0.095017 0.094174
15.975109 0.095909 0.093618
15.985975 0.095017 0.093129
15.996842 0.093602 0.092696
16.007708 0.091018 0.092309
16.018575 0.090680 0.091962
16.029441 0.090157 0.091648
16.040307 0.089911 0.091363
16.051174 0.089572 0.091103
16.062040 0.089972 0.090865
16.072907 0.086435 0.090646
16.083773 0.089111 0.090444
16.094640 0.090557 0.090258
16.105506 0.090311 0.090086
16.116373 0.089603 0.089926
16.127239 0.088896 0.089778
16.138105 0.087850 0.089641
16.148972 0.088465 0.089512
16.159838 0.089911 0.089393
16.170705 0.084958 0.089281
16.181571 0.085389 0.089177
16.192438 0.086343 0.089079
16.203304 0.091603 0.088988
16.214170 0.087512 0.088902
16.225037 0.088650 0.088822
16.235903 0.085112 0.088746
16.246770 0.089419 0.088675
16.257636 0.090126 0.088609
16.268503 0.089695 0.088546
16.279369 0.086496 0.088487
16.290236 0.086989 0.088431
16.301102 0.088034 0.088379
16.311968 0.089173 0.088329
16.322835 0.086127 0.088282
16.333701 0.089880 0.088238
16.344568 0.088250 0.088197
16.355434 0.089296 0.088157
16.366301 0.085789 0.088120
16.377167 0.083728 0.088085
16.388033 0.089480 0.088051
16.398900 0.086589 0.088020
16.409766 0.086927 0.087990
16.420633 0.083759 0.087962
16.431499 0.086189 0.087935
16.442366 0.086650 0.087910
16.453232 0.088557 0.087886
16.464099 0.086035 0.087863
16.474965 0.086620 0.087841
16.485831 0.087450 0.087821
16.496698 0.084805 0.087802
16.507564 0.087512 0.087783
16.518431 0.086927 0.087766
16.529297 0.086620 0.087750
16.540164 0.086158 0.087734
16.551030 0.088957 0.087720
16.561897 0.087696 0.087706
16.572763 0.086835 0.087693
16.583629 0.086620 0.087680
16.594496 0.085389 0.087669
16.605362 0.088650 0.087658
16.616229 0.086681 0.087648
16.627095 0.087604 0.087638
16.637962 0.088065 0.087629
16.648828 0.087819 0.087620
16.659695 0.083451 0.087612
16.670561 0.085328 0.087604
16.681427 0.086558 0.087597
16.692294 0.085604 0.087591
16.703160 0.086343 0.087585
16.714027 0.088926 0.087579
16.724893 0.087819 0.087574
16.735760 0.085205 0.087569
16.746626 0.086773 0.087564
16.757492 0.085235 0.087560
16.768359 0.089296 0.087556
16.779225 0.086773 0.087553
16.790092 0.085328 0.087550
16.800958 0.083544 0.087547
16.811825 0.083667 0.087545
16.822691 0.090618 0.087542
16.833558 0.082805 0.087540
16.844424 0.086373 0.087539
16.855290 0.085943 0.087537
16.866157 0.088096 0.087536
16.877023 0.087081 0.087535
16.887890 0.085328 0.087535
16.898756 0.085666 0.087534
16.909623 0.086927 0.087534
16.920489 0.088803 0.087534
16.931355 0.088773 0.087534
16.942222 0.086896 0.087535
16.953088 0.090987 0.087535
16.963955 0.089665 0.087536
16.974821 0.085389 0.087537
16.985688 0.086189 0.087538
16.996554 0.087819 0.087540
17.007421 0.087542 0.087541
17.018287 0.087850 0.087543
17.029153 0.084712 0.087545
17.040020 0.090864 0.087547
17.050886 0.087419 0.087549
17.061753 0.086743 0.087551
17.072619 0.089234 0.087554
17.083486 0.087635 0.087556
17.094352 0.086558 0.087559
17.105219 0.087450 0.087562
17.116085 0.086527 0.087565
17.126951 0.089142 0.087568
17.137818 0.087019 0.087571
17.148684 0.085635 0.087574
17.159551 0.087235 0.087577
17.170417 0.086835 0.087581
17.181284 0.085543 0.087585
17.192150 0.087942 0.087588
17.203017 0.085420 0.087592
17.213883 0.086466 0.087596
17.224749 0.086281 0.087600
17.235616 0.086189 0.087604
17.246482 0.089542 0.087608
17.257349 0.089234 0.087613
17.268215 0.088773 0.087617
17.279082 0.089296 0.087622
17.289948 0.086312 0.087626
17.300814 0.086435 0.087631
17.311681 0.087112 0.087636
17.322547 0.085266 0.087640
17.333414 0.087696 0.087645
17.344280 0.084866 0.087650
17.355147 0.087358 0.087655
17.366013 0.085082 0.087660
17.376880 0.087850 0.087665
17.387746 0.086743 0.087671
17.398612 0.087573 0.087676
17.409479 0.085851 0.087681
17.420345 0.084528 0.087687
17.431212 0.085758 0.087692
17.442078 0.087019 0.087698
17.452945 0.086589 0.087703
17.463811 0.087758 0.087709
17.474677 0.083974 0.087715
17.485544 0.088311 0.087720
17.496410 0.086343 0.087726
17.507277 0.088865 0.087732
17.518143 0.086958 0.087738
17.529010 0.086743 0.087744
17.539876 0.087358 0.087750
17.550743 0.086373 0.087756
17.561609 0.083082 0.087762
17.572475 0.083544 0.087769
17.583342 0.087727 0.087775
17.594208 0.087819 0.087781
17.605075 0.087573 0.087788
17.615941 0.087788 0.087794
