index,Rwp,step,frac,scale
58,19.915951500557046,粗调 (Stage 1),"[0.13407473266124725, 0.8659252524375916]","[0.2334671914577484, 0.40827351808547974]"
59,19.1031454231317,粗调 (Stage 1),"[0.5272062420845032, 0.4727937877178192]","[0.5146682262420654, 0.7008854746818542]"
60,19.44301161421969,粗调 (Stage 1),"[0.5121663808822632, 0.4878336191177368]","[0.5391948819160461, 0.7271949648857117]"
61,19.316663093787515,粗调 (Stage 1),"[0.5564821362495422, 0.44351792335510254]","[0.5063897371292114, 0.6664843559265137]"
62,19.250174522941613,粗调 (Stage 1),"[0.532934308052063, 0.4670656621456146]","[0.5349084138870239, 0.7034688591957092]"
63,19.16821420682031,粗调 (Stage 1),"[0.4973016679286957, 0.5026983022689819]","[0.531473696231842, 0.7128279209136963]"
64,19.895730927987984,粗调 (Stage 1),"[0.47796860337257385, 0.5220313668251038]","[0.5597859621047974, 0.7582524418830872]"
65,18.320069557264876,粗调 (Stage 1),"[0.476819783449173, 0.5231801867485046]","[0.5596892833709717, 0.7766627073287964]"
66,18.319906511733503,粗调 (Stage 1),"[0.47645390033721924, 0.5235460996627808]","[0.5598426461219788, 0.7776113152503967]"
67,18.32054279793021,粗调 (Stage 1),"[0.4767659902572632, 0.5232340097427368]","[0.5597431063652039, 0.776822566986084]"
68,18.31949966040439,粗调 (Stage 1),"[0.4764893352985382, 0.5235106348991394]","[0.5598024129867554, 0.7775050401687622]"
69,18.390873306506577,粗调 (Stage 1),"[0.47641316056251526, 0.5235868096351624]","[0.564376950263977, 0.7808677554130554]"
70,18.240045312930743,粗调 (Stage 1),"[0.47684839367866516, 0.5231515765190125]","[0.5539698004722595, 0.7725974321365356]"
71,18.469409575566832,粗调 (Stage 1),"[0.47366347908973694, 0.5263365507125854]","[0.5477939248085022, 0.7752087712287903]"
72,18.021378307029632,粗调 (Stage 1),"[0.47917723655700684, 0.5208227634429932]","[0.5564970374107361, 0.7690185308456421]"
73,18.040912270265004,粗调 (Stage 1),"[0.4825854003429413, 0.5174145698547363]","[0.5529260635375977, 0.7584578394889832]"
74,17.991499693444577,粗调 (Stage 1),"[0.478664368391037, 0.5213356614112854]","[0.5576581954956055, 0.7709696888923645]"
75,18.9225726584517,粗调 (Stage 1),"[0.46605733036994934, 0.5339426398277283]","[0.4984167814254761, 0.7439101338386536]"
76,17.76536020051579,粗调 (Stage 1),"[0.5702481865882874, 0.42975184321403503]","[0.7694303393363953, 0.8174270987510681]"
77,19.775170102447305,粗调 (Stage 1),"[0.6971815228462219, 0.3028184771537781]","[0.6862238049507141, 0.6504353880882263]"
78,18.054085952724304,粗调 (Stage 1),"[0.513217568397522, 0.4867824614048004]","[0.8087278008460999, 0.8908241391181946]"
79,16.158491529648533,粗调 (Stage 1),"[0.5525931715965271, 0.4474067986011505]","[0.7156237363815308, 0.7909652590751648]"
80,18.483286615562317,粗调 (Stage 1),"[0.4247530698776245, 0.5752469301223755]","[0.4568370580673218, 0.6788464188575745]"
81,16.158491529648533,粗调 (Stage 1),"[0.5525931715965271, 0.4474067986011505]","[0.7156237363815308, 0.7909652590751648]"
82,18.483286615562317,粗调 (Stage 1),"[0.4247530698776245, 0.5752469301223755]","[0.4568370580673218, 0.6788464188575745]"
83,17.759571229696093,粗调 (Stage 1),"[0.57646644115448, 0.42353355884552]","[0.7882182598114014, 0.8221561312675476]"
84,18.125032169971604,粗调 (Stage 1),"[0.5499813556671143, 0.45001867413520813]","[0.714221179485321, 0.8044792413711548]"
85,15.988610880028745,粗调 (Stage 1),"[0.5345301032066345, 0.4654698669910431]","[0.7275065183639526, 0.8172050714492798]"
86,16.673867265211396,粗调 (Stage 1),"[0.5863521099090576, 0.4136478900909424]","[0.6811733245849609, 0.7366989850997925]"
87,16.20356987685693,粗调 (Stage 1),"[0.5471343994140625, 0.4528656005859375]","[0.7195937037467957, 0.803171694278717]"
88,16.529121069804336,粗调 (Stage 1),"[0.5750858187675476, 0.4249142110347748]","[0.7057599425315857, 0.7616438269615173]"
89,16.099401638649166,粗调 (Stage 1),"[0.5613841414451599, 0.4386158585548401]","[0.7118656635284424, 0.7816905379295349]"
90,16.848587515307997,粗调 (Stage 1),"[0.562120795249939, 0.43787920475006104]","[0.6897700428962708, 0.773824155330658]"
91,19.713382568210374,粗调 (Stage 1),"[0.2235621213912964, 0.7764378786087036]","[0.2998656928539276, 0.4589499533176422]"
92,19.713382568210374,粗调 (Stage 1),"[0.2235621213912964, 0.7764378786087036]","[0.2998656928539276, 0.4589499533176422]"
93,19.715944198786293,粗调 (Stage 1),"[0.22425130009651184, 0.7757487297058105]","[0.29970479011535645, 0.4585218131542206]"
94,19.715944198786293,粗调 (Stage 1),"[0.22425130009651184, 0.7757487297058105]","[0.29970479011535645, 0.4585218131542206]"
95,19.72488964116179,粗调 (Stage 1),"[0.22591285407543182, 0.774087131023407]","[0.2994031012058258, 0.4575788080692291]"
96,19.72488964116179,粗调 (Stage 1),"[0.22591285407543182, 0.774087131023407]","[0.2994031012058258, 0.4575788080692291]"
97,16.65479819451318,粗调 (Stage 1),"[0.5941427946090698, 0.4058571755886078]","[0.658604085445404, 0.7297167778015137]"
98,16.89311350057263,粗调 (Stage 1),"[0.5518100261688232, 0.44818997383117676]","[0.7025238871574402, 0.7768555879592896]"
99,16.972827337830786,粗调 (Stage 1),"[0.6039031744003296, 0.3960968554019928]","[0.6560187339782715, 0.7199585437774658]"
100,16.70828848053317,粗调 (Stage 1),"[0.5686824917793274, 0.4313175082206726]","[0.708784282207489, 0.7778008580207825]"
