# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
12.180000 0.003966 0.000812 0.003154
12.190000 0.000000 0.000790 -0.000790
12.200000 0.000000 0.000770 -0.000770
12.210000 0.000000 0.000751 -0.000751
12.220000 0.001855 0.000733 0.001122
12.230000 0.012754 0.000717 0.012037
12.240000 0.000000 0.000701 -0.000701
12.250000 0.000000 0.000687 -0.000687
12.260000 0.011492 0.000673 0.010819
12.270000 0.000000 0.000660 -0.000660
12.280000 0.009344 0.000648 0.008696
12.290000 0.000000 0.000636 -0.000636
12.300000 0.000000 0.000625 -0.000625
12.310000 0.000000 0.000615 -0.000615
12.320000 0.000000 0.000605 -0.000605
12.330000 0.000000 0.000596 -0.000596
12.340000 0.018566 0.000587 0.017979
12.350000 0.009437 0.000579 0.008858
12.360000 0.006837 0.000571 0.006266
12.370000 0.001625 0.000563 0.001061
12.380000 0.012956 0.000556 0.012400
12.390000 0.015579 0.000549 0.015030
12.400000 0.010801 0.000543 0.010258
12.410000 0.006894 0.000537 0.006357
12.420000 0.007774 0.000531 0.007244
12.430000 0.008654 0.000525 0.008129
12.440000 0.000827 0.000520 0.000307
12.450000 0.000000 0.000514 -0.000514
12.460000 0.001713 0.000510 0.001203
12.470000 0.000000 0.000505 -0.000505
12.480000 0.000000 0.000500 -0.000500
12.490000 0.001730 0.000496 0.001234
12.500000 0.002606 0.000492 0.002114
12.510000 0.000000 0.000488 -0.000488
12.520000 0.007402 0.000484 0.006918
12.530000 0.005664 0.000481 0.005183
12.540000 0.002184 0.000477 0.001707
12.550000 0.000000 0.000474 -0.000474
12.560000 0.000000 0.000471 -0.000471
12.570000 0.007850 0.000468 0.007383
12.580000 0.003934 0.000465 0.003469
12.590000 0.000000 0.000462 -0.000462
12.600000 0.007856 0.000459 0.007397
12.610000 0.005681 0.000457 0.005224
12.620000 0.010907 0.000455 0.010453
12.630000 0.007426 0.000452 0.006974
12.640000 0.001333 0.000450 0.000883
12.650000 0.003076 0.000448 0.002628
12.660000 0.006561 0.000446 0.006115
12.670000 0.009175 0.000444 0.008731
12.680000 0.006129 0.000443 0.005687
12.690000 0.000000 0.000441 -0.000441
12.700000 0.009180 0.000439 0.008741
12.710000 0.000000 0.000438 -0.000438
12.720000 0.007443 0.000437 0.007006
12.730000 0.000000 0.000435 -0.000435
12.740000 0.000000 0.000434 -0.000434
12.750000 0.000000 0.000433 -0.000433
12.760000 0.000000 0.000432 -0.000432
12.770000 0.017030 0.000431 0.016599
12.780000 0.003536 0.000430 0.003106
12.790000 0.014423 0.000429 0.013993
12.800000 0.003105 0.000429 0.002677
12.810000 0.000000 0.000428 -0.000428
12.820000 0.012252 0.000428 0.011825
12.830000 0.001371 0.000427 0.000944
12.840000 0.006597 0.000427 0.006170
12.850000 0.000000 0.000426 -0.000426
12.860000 0.009649 0.000426 0.009223
12.870000 0.001380 0.000426 0.000954
12.880000 0.002253 0.000426 0.001827
12.890000 0.001385 0.000426 0.000959
12.900000 0.000952 0.000426 0.000526
12.910000 0.006179 0.000426 0.005753
12.920000 0.010535 0.000426 0.010109
12.930000 0.000525 0.000427 0.000099
12.940000 0.004446 0.000427 0.004019
12.950000 0.013156 0.000427 0.012729
12.960000 0.007935 0.000428 0.007507
12.970000 0.000000 0.000428 -0.000428
12.980000 0.004458 0.000429 0.004029
12.990000 0.004461 0.000430 0.004031
13.000000 0.012300 0.000431 0.011870
13.010000 0.004903 0.000431 0.004471
13.020000 0.000000 0.000432 -0.000432
13.030000 0.000000 0.000433 -0.000433
13.040000 0.000000 0.000434 -0.000434
13.050000 0.002304 0.000436 0.001869
13.060000 0.003614 0.000437 0.003177
13.070000 0.000570 0.000438 0.000132
13.080000 0.003621 0.000440 0.003182
13.090000 0.005802 0.000441 0.005361
13.100000 0.011465 0.000443 0.011022
13.110000 0.000000 0.000445 -0.000445
13.120000 0.002331 0.000446 0.001884
13.130000 0.005818 0.000448 0.005370
13.140000 0.007563 0.000450 0.007113
13.150000 0.015839 0.000452 0.015387
13.160000 0.000000 0.000454 -0.000454
13.170000 0.001917 0.000457 0.001460
13.180000 0.000000 0.000459 -0.000459
13.190000 0.003667 0.000461 0.003205
13.200000 0.000188 0.000464 -0.000276
13.210000 0.013689 0.000467 0.013222
13.220000 0.004551 0.000469 0.004082
13.230000 0.010215 0.000472 0.009743
13.240000 0.001948 0.000475 0.001473
13.250000 0.001518 0.000478 0.001040
13.260000 0.011971 0.000482 0.011490
13.270000 0.004140 0.000485 0.003655
13.280000 0.006757 0.000488 0.006268
13.290000 0.009809 0.000492 0.009317
13.300000 0.004590 0.000496 0.004094
13.310000 0.002854 0.000500 0.002354
13.320000 0.007212 0.000504 0.006709
13.330000 0.003735 0.000508 0.003227
13.340000 0.000000 0.000512 -0.000512
13.350000 0.006793 0.000517 0.006276
13.360000 0.000000 0.000522 -0.000522
13.370000 0.005062 0.000526 0.004536
13.380000 0.008550 0.000531 0.008019
13.390000 0.000284 0.000537 -0.000253
13.400000 0.000000 0.000542 -0.000542
13.410000 0.009873 0.000548 0.009325
13.420000 0.008572 0.000553 0.008019
13.430000 0.011625 0.000560 0.011065
13.440000 0.000000 0.000566 -0.000566
13.450000 0.000752 0.000572 0.000180
13.460000 0.011206 0.000579 0.010627
13.470000 0.003810 0.000586 0.003224
13.480000 0.011652 0.000593 0.011058
13.490000 0.009480 0.000601 0.008879
13.500000 0.012532 0.000609 0.011923
13.510000 0.000000 0.000617 -0.000617
13.520000 0.013847 0.000625 0.013221
13.530000 0.009061 0.000634 0.008427
13.540000 0.004275 0.000644 0.003632
13.550000 0.002536 0.000653 0.001883
13.560000 0.012116 0.000663 0.011453
13.570000 0.011246 0.000674 0.010573
13.580000 0.000363 0.000684 -0.000321
13.590000 0.000000 0.000696 -0.000696
13.600000 0.001668 0.000708 0.000960
13.610000 0.004278 0.000720 0.003558
13.620000 0.000793 0.000733 0.000060
13.630000 0.006014 0.000747 0.005268
13.640000 0.000000 0.000761 -0.000761
13.650000 0.000000 0.000776 -0.000776
13.660000 0.000000 0.000792 -0.000792
13.670000 0.003812 0.000809 0.003004
13.680000 0.004672 0.000826 0.003846
13.690000 0.007270 0.000845 0.006425
13.700000 0.000000 0.000865 -0.000865
13.710000 0.000000 0.000886 -0.000886
13.720000 0.000679 0.000909 -0.000230
13.730000 0.000000 0.000935 -0.000935
13.740000 0.006713 0.000963 0.005750
13.750000 0.001017 0.000996 0.000020
