# 2Theta  Intensity_Obs  Intensity_Fit
15.138393 0.090003 0.088436
15.149259 0.086066 0.088537
15.160126 0.089819 0.088644
15.170992 0.088311 0.088758
15.181859 0.088680 0.088878
15.192725 0.085512 0.089007
15.203592 0.091018 0.089144
15.214458 0.089942 0.089290
15.225324 0.089142 0.089447
15.236191 0.087327 0.089615
15.247057 0.088004 0.089795
15.257924 0.089511 0.089989
15.268790 0.091726 0.090198
15.279657 0.088096 0.090424
15.290523 0.093817 0.090670
15.301389 0.091910 0.090937
15.312256 0.093448 0.091230
15.323122 0.092341 0.091552
15.333989 0.093202 0.091908
15.344855 0.091726 0.092305
15.355722 0.093602 0.092749
15.366588 0.092310 0.093251
15.377455 0.091480 0.093822
15.388321 0.094802 0.094476
15.399187 0.095694 0.095231
15.410054 0.098339 0.096107
15.420920 0.097508 0.097128
15.431787 0.101476 0.098321
15.442653 0.102338 0.099718
15.453520 0.102461 0.101351
15.464386 0.105814 0.103257
15.475253 0.104891 0.105473
15.486119 0.110058 0.108034
15.496985 0.108121 0.110976
15.507852 0.111074 0.114328
15.518718 0.112027 0.118111
15.529585 0.116180 0.122334
15.540451 0.120055 0.126988
15.551318 0.118210 0.132038
15.562184 0.123593 0.137416
15.573051 0.119194 0.143008
15.583917 0.126761 0.148650
15.594783 0.131129 0.154126
15.605650 0.131929 0.159190
15.616516 0.136297 0.163590
15.627383 0.135158 0.167119
15.638249 0.138942 0.169642
15.649116 0.140295 0.171110
15.659982 0.139157 0.171539
15.670848 0.142633 0.170969
15.681715 0.144325 0.169435
15.692581 0.140726 0.166967
15.703448 0.143740 0.163610
15.714314 0.146909 0.159456
15.725181 0.146047 0.154657
15.736047 0.144909 0.149414
15.746914 0.145955 0.143950
15.757780 0.143094 0.138471
15.768646 0.138604 0.133150
15.779513 0.137958 0.128113
15.790379 0.134759 0.123441
15.801246 0.132113 0.119179
15.812112 0.124269 0.115346
15.822979 0.122332 0.111937
15.833845 0.119102 0.108935
15.844711 0.116303 0.106314
15.855578 0.108121 0.104041
15.866444 0.111658 0.102081
15.877311 0.107044 0.100400
15.888177 0.106767 0.098961
15.899044 0.102276 0.097732
15.909910 0.101753 0.096681
15.920777 0.099231 0.095781
15.931643 0.095970 0.095008
15.942509 0.094432 0.094340
15.953376 0.093971 0.093761
15.964242 0.095017 0.093254
15.975109 0.095909 0.092808
15.985975 0.095017 0.092413
15.996842 0.093602 0.092060
16.007708 0.091018 0.091743
16.018575 0.090680 0.091457
16.029441 0.090157 0.091197
16.040307 0.089911 0.090959
16.051174 0.089572 0.090742
16.062040 0.089972 0.090543
16.072907 0.086435 0.090359
16.083773 0.089111 0.090190
16.094640 0.090557 0.090033
16.105506 0.090311 0.089888
16.116373 0.089603 0.089753
16.127239 0.088896 0.089627
16.138105 0.087850 0.089511
16.148972 0.088465 0.089402
16.159838 0.089911 0.089300
16.170705 0.084958 0.089205
16.181571 0.085389 0.089117
16.192438 0.086343 0.089034
16.203304 0.091603 0.088956
16.214170 0.087512 0.088883
16.225037 0.088650 0.088815
16.235903 0.085112 0.088751
16.246770 0.089419 0.088690
16.257636 0.090126 0.088634
16.268503 0.089695 0.088580
16.279369 0.086496 0.088530
16.290236 0.086989 0.088483
16.301102 0.088034 0.088438
16.311968 0.089173 0.088396
16.322835 0.086127 0.088357
16.333701 0.089880 0.088320
16.344568 0.088250 0.088284
16.355434 0.089296 0.088251
16.366301 0.085789 0.088220
16.377167 0.083728 0.088190
16.388033 0.089480 0.088162
16.398900 0.086589 0.088136
16.409766 0.086927 0.088111
16.420633 0.083759 0.088087
16.431499 0.086189 0.088065
16.442366 0.086650 0.088044
16.453232 0.088557 0.088024
16.464099 0.086035 0.088005
16.474965 0.086620 0.087988
16.485831 0.087450 0.087971
16.496698 0.084805 0.087955
16.507564 0.087512 0.087941
16.518431 0.086927 0.087927
16.529297 0.086620 0.087914
16.540164 0.086158 0.087901
16.551030 0.088957 0.087890
16.561897 0.087696 0.087879
16.572763 0.086835 0.087869
16.583629 0.086620 0.087859
16.594496 0.085389 0.087850
16.605362 0.088650 0.087842
16.616229 0.086681 0.087834
16.627095 0.087604 0.087827
16.637962 0.088065 0.087820
16.648828 0.087819 0.087814
16.659695 0.083451 0.087808
16.670561 0.085328 0.087803
16.681427 0.086558 0.087798
16.692294 0.085604 0.087794
16.703160 0.086343 0.087789
16.714027 0.088926 0.087786
16.724893 0.087819 0.087783
16.735760 0.085205 0.087780
16.746626 0.086773 0.087777
16.757492 0.085235 0.087775
16.768359 0.089296 0.087773
16.779225 0.086773 0.087771
16.790092 0.085328 0.087770
16.800958 0.083544 0.087769
16.811825 0.083667 0.087768
16.822691 0.090618 0.087767
16.833558 0.082805 0.087767
16.844424 0.086373 0.087767
16.855290 0.085943 0.087767
16.866157 0.088096 0.087768
16.877023 0.087081 0.087769
16.887890 0.085328 0.087769
16.898756 0.085666 0.087771
16.909623 0.086927 0.087772
16.920489 0.088803 0.087773
16.931355 0.088773 0.087775
16.942222 0.086896 0.087777
16.953088 0.090987 0.087779
16.963955 0.089665 0.087781
16.974821 0.085389 0.087783
16.985688 0.086189 0.087786
16.996554 0.087819 0.087789
17.007421 0.087542 0.087791
17.018287 0.087850 0.087794
17.029153 0.084712 0.087798
17.040020 0.090864 0.087801
17.050886 0.087419 0.087804
17.061753 0.086743 0.087808
17.072619 0.089234 0.087811
17.083486 0.087635 0.087815
17.094352 0.086558 0.087819
17.105219 0.087450 0.087823
17.116085 0.086527 0.087827
17.126951 0.089142 0.087831
17.137818 0.087019 0.087836
17.148684 0.085635 0.087840
17.159551 0.087235 0.087845
17.170417 0.086835 0.087849
17.181284 0.085543 0.087854
17.192150 0.087942 0.087859
17.203017 0.085420 0.087864
17.213883 0.086466 0.087869
17.224749 0.086281 0.087874
17.235616 0.086189 0.087879
17.246482 0.089542 0.087885
17.257349 0.089234 0.087890
17.268215 0.088773 0.087895
17.279082 0.089296 0.087901
17.289948 0.086312 0.087906
17.300814 0.086435 0.087912
17.311681 0.087112 0.087918
17.322547 0.085266 0.087924
17.333414 0.087696 0.087930
17.344280 0.084866 0.087936
17.355147 0.087358 0.087942
17.366013 0.085082 0.087948
17.376880 0.087850 0.087954
17.387746 0.086743 0.087960
17.398612 0.087573 0.087966
17.409479 0.085851 0.087973
17.420345 0.084528 0.087979
17.431212 0.085758 0.087985
17.442078 0.087019 0.087992
17.452945 0.086589 0.087999
17.463811 0.087758 0.088005
17.474677 0.083974 0.088012
17.485544 0.088311 0.088019
17.496410 0.086343 0.088025
17.507277 0.088865 0.088032
17.518143 0.086958 0.088039
17.529010 0.086743 0.088046
17.539876 0.087358 0.088053
17.550743 0.086373 0.088060
17.561609 0.083082 0.088067
17.572475 0.083544 0.088074
17.583342 0.087727 0.088081
17.594208 0.087819 0.088088
17.605075 0.087573 0.088096
17.615941 0.087788 0.088103
17.626808 0.085082 0.088110
17.637674 0.088342 0.088117
17.648541 0.086527 0.088125
17.659407 0.086743 0.088132
17.670273 0.084005 0.088140
17.681140 0.087235 0.088147
17.692006 0.088496 0.088155
17.702873 0.088834 0.088162
17.713739 0.088342 0.088170
17.724606 0.085666 0.088178
17.735472 0.087573 0.088185
17.746339 0.088957 0.088193
17.757205 0.089050 0.088201
17.768071 0.085666 0.088209
17.778938 0.087604 0.088216
17.789804 0.087727 0.088224
17.800671 0.085635 0.088232
17.811537 0.087204 0.088240
17.822404 0.086927 0.088248
17.833270 0.089480 0.088256
17.844136 0.085820 0.088264
17.855003 0.086435 0.088272
17.865869 0.088557 0.088280
17.876736 0.084774 0.088288
17.887602 0.088773 0.088296
17.898469 0.086220 0.088305
17.909335 0.084374 0.088313
17.920202 0.088496 0.088321
17.931068 0.086958 0.088329
17.941934 0.084928 0.088337
17.952801 0.089111 0.088346
17.963667 0.085020 0.088354
17.974534 0.085358 0.088362
17.985400 0.085543 0.088371
17.996267 0.088004 0.088379
18.007133 0.084958 0.088388
18.018000 0.085543 0.088396
18.028866 0.087727 0.088404
18.039732 0.089111 0.088413
18.050599 0.087173 0.088421
18.061465 0.086804 0.088430
18.072332 0.086312 0.088439
18.083198 0.082805 0.088447
18.094065 0.088342 0.088456
18.104931 0.087911 0.088464
18.115797 0.089050 0.088473
18.126664 0.090372 0.088482
18.137530 0.083605 0.088490
18.148397 0.088465 0.088499
18.159263 0.086435 0.088508
18.170130 0.087635 0.088517
18.180996 0.086250 0.088525
18.191863 0.087727 0.088534
18.202729 0.088065 0.088543
18.213595 0.086620 0.088552
18.224462 0.088004 0.088561
18.235328 0.088188 0.088570
18.246195 0.086250 0.088579
18.257061 0.085266 0.088587
18.267928 0.091418 0.088596
18.278794 0.087419 0.088605
18.289661 0.088034 0.088614
18.300527 0.088342 0.088623
18.311393 0.088342 0.088632
18.322260 0.088834 0.088641
18.333126 0.091203 0.088650
18.343993 0.088680 0.088659
18.354859 0.088188 0.088669
18.365726 0.088157 0.088678
18.376592 0.087481 0.088687
18.387458 0.088588 0.088696
18.398325 0.088250 0.088705
18.409191 0.090095 0.088714
18.420058 0.088957 0.088723
18.430924 0.086866 0.088733
18.441791 0.084774 0.088742
18.452657 0.088988 0.088751
18.463524 0.089757 0.088760
18.474390 0.086804 0.088770
18.485256 0.087758 0.088779
18.496123 0.088342 0.088788
18.506989 0.088188 0.088798
18.517856 0.086958 0.088807
18.528722 0.089819 0.088816
18.539589 0.089788 0.088826
18.550455 0.088250 0.088835
18.561321 0.090434 0.088844
18.572188 0.084313 0.088854
18.583054 0.088157 0.088863
18.593921 0.088711 0.088873
18.604787 0.088803 0.088882
18.615654 0.085266 0.088892
18.626520 0.089726 0.088901
18.637387 0.090218 0.088911
18.648253 0.087358 0.088920
18.659119 0.087481 0.088930
18.669986 0.091572 0.088939
18.680852 0.089788 0.088949
18.691719 0.091449 0.088958
18.702585 0.086558 0.088968
18.713452 0.087050 0.088978
18.724318 0.091141 0.088987
18.735185 0.090834 0.088997
18.746051 0.087296 0.089006
18.756917 0.089880 0.089016
18.767784 0.088557 0.089026
18.778650 0.088496 0.089035
18.789517 0.090772 0.089045
18.800383 0.087696 0.089055
18.811250 0.089757 0.089065
18.822116 0.089788 0.089074
18.832982 0.087542 0.089084
18.843849 0.089942 0.089094
18.854715 0.086035 0.089104
18.865582 0.090526 0.089113
18.876448 0.087142 0.089123
18.887315 0.087881 0.089133
18.898181 0.091357 0.089143
18.909048 0.090588 0.089153
18.919914 0.089019 0.089163
18.930780 0.085943 0.089172
18.941647 0.089880 0.089182
18.952513 0.089849 0.089192
18.963380 0.089203 0.089202
18.974246 0.090095 0.089212
18.985113 0.087911 0.089222
18.995979 0.089757 0.089232
19.006846 0.090834 0.089242
19.017712 0.086066 0.089252
19.028578 0.091726 0.089262
19.039445 0.088896 0.089272
19.050311 0.091449 0.089282
19.061178 0.087173 0.089292
19.072044 0.086927 0.089302
19.082911 0.090526 0.089312
19.093777 0.091018 0.089322
19.104644 0.087358 0.089332
19.115510 0.086927 0.089342
19.126376 0.087481 0.089352
19.137243 0.089111 0.089362
19.148109 0.089357 0.089372
19.158976 0.087388 0.089382
19.169842 0.089142 0.089392
19.180709 0.087265 0.089403
19.191575 0.087419 0.089413
19.202441 0.087327 0.089423
19.213308 0.087019 0.089433
19.224174 0.085389 0.089443
19.235041 0.086804 0.089453
19.245907 0.087388 0.089464
19.256774 0.090895 0.089474
19.267640 0.088004 0.089484
19.278507 0.087850 0.089494
19.289373 0.087327 0.089504
19.300239 0.089234 0.089515
19.311106 0.087881 0.089525
19.321972 0.092249 0.089535
19.332839 0.089542 0.089545
19.343705 0.084958 0.089556
19.354572 0.088926 0.089566
19.365438 0.088004 0.089576
19.376304 0.089388 0.089587
19.387171 0.086927 0.089597
19.398037 0.091049 0.089607
19.408904 0.091910 0.089618
19.419770 0.089019 0.089628
19.430637 0.088896 0.089638
19.441503 0.089788 0.089649
